autoemit_temperature_commands,Auto Emit Temperature Commands,Automatically insert temperature commands (M104/M109) into G-code
bed_custom_model,Bed Custom Model,Path to a custom 3D model file for the printer bed visualization
bed_custom_texture,Bed Custom Texture,Path to a custom texture image for the printer bed visualization
bed_shape,Bed Shape,Coordinates defining the shape of the printer bed
before_layer_gcode,Before Layer G-code,Custom G-code inserted before each layer change
between_objects_gcode,Between Objects G-code,Custom G-code inserted between printing individual objects
binary_gcode,Binary G-code,Export G-code in binary format
color_change_gcode,Color Change G-code,Custom G-code executed during filament color changes
cooling_tube_length,Cooling Tube Length,Length of the cooling tube in millimeters for MMU setups
cooling_tube_retraction,Cooling Tube Retraction,Retraction distance for the cooling tube during filament change
default_filament_profile,Default Filament Profile,Name of the default filament profile to use
default_print_profile,Default Print Profile,Name of the default print settings profile to use
deretract_speed,Deretract Speed,Speed at which filament is pushed back after retraction
end_gcode,End G-code,Custom G-code executed at the end of the print job
extra_loading_move,Extra Loading Move,Additional filament loading distance during filament change
extruder_colour,Extruder Colour,Color associated with the extruder for visualization
extruder_offset,Extruder Offset,X and Y offsets for multiple extruders
gcode_flavor,G-code Flavor,Type of G-code dialect used by the printer firmware
high_current_on_filament_swap,High Current on Filament Swap,Enable high current during filament swaps to speed up loading
host_type,Host Type,Type of host software or service connected to the printer
inherits,Inherits,Profiles or settings that this configuration inherits from
layer_gcode,Layer G-code,Custom G-code inserted at each layer change
machine_limits_usage,Machine Limits Usage,Controls how slicer considers machine limits during slicing
machine_max_acceleration_e,Machine Max Acceleration E,Maximum acceleration for the extruder axis
machine_max_acceleration_extruding,Machine Max Acceleration Extruding,Maximum acceleration during extruding moves
machine_max_acceleration_retracting,Machine Max Acceleration Retracting,Maximum acceleration during retraction moves
machine_max_acceleration_travel,Machine Max Acceleration Travel,Maximum acceleration during travel moves
machine_max_acceleration_x,Machine Max Acceleration X,Maximum acceleration for the X-axis
machine_max_acceleration_y,Machine Max Acceleration Y,Maximum acceleration for the Y-axis
machine_max_acceleration_z,Machine Max Acceleration Z,Maximum acceleration for the Z-axis
machine_max_feedrate_e,Machine Max Feedrate E,Maximum feedrate for the extruder axis
machine_max_feedrate_x,Machine Max Feedrate X,Maximum feedrate for the X-axis
machine_max_feedrate_y,Machine Max Feedrate Y,Maximum feedrate for the Y-axis
machine_max_feedrate_z,Machine Max Feedrate Z,Maximum feedrate for the Z-axis
machine_max_jerk_e,Machine Max Jerk E,Maximum jerk (sudden speed change) for the extruder axis
machine_max_jerk_x,Machine Max Jerk X,Maximum jerk for the X-axis
machine_max_jerk_y,Machine Max Jerk Y,Maximum jerk for the Y-axis
machine_max_jerk_z,Machine Max Jerk Z,Maximum jerk for the Z-axis
machine_min_extruding_rate,Machine Min Extruding Rate,Minimum speed during extrusion moves
machine_min_travel_rate,Machine Min Travel Rate,Minimum speed during travel moves
max_layer_height,Max Layer Height,Maximum allowable layer height for the nozzle
max_print_height,Max Print Height,Maximum printable height of the printer
min_layer_height,Min Layer Height,Minimum allowable layer height for the nozzle
multimaterial_purging,Multi-material Purging,Settings related to filament purging in multi-material prints
nozzle_diameter,Nozzle Diameter,Diameter of the printer's nozzle in millimeters
nozzle_high_flow,Nozzle High Flow,Indicates if the nozzle is capable of high-flow extrusion
parking_pos_retraction,Parking Position Retraction,Retraction length when parking the extruder
pause_print_gcode,Pause Print G-code,Custom G-code executed when the print is paused
